"0","head(iris,5)"
"1"," "
"1"," Sepal.Length"
"1"," Sepal.Width"
"1"," Petal.Length"
"1"," Petal.Width"
"1"," Species"
"1","
1"
"1","          5.1"
"1","         3.5"
"1","          1.4"
"1","         0.2"
"1","  setosa"
"1","
2"
"1","          4.9"
"1","         3.0"
"1","          1.4"
"1","         0.2"
"1","  setosa"
"1","
3"
"1","          4.7"
"1","         3.2"
"1","          1.3"
"1","         0.2"
"1","  setosa"
"1","
4"
"1","          4.6"
"1","         3.1"
"1","          1.5"
"1","         0.2"
"1","  setosa"
"1","
5"
"1","          5.0"
"1","         3.6"
"1","          1.4"
"1","         0.2"
"1","  setosa"
"1","
"
"0","attach(iris)"
"0","x <- subset(iris, select=-Species)"
"0","y <- Species"
